Bombali,302488320,Port Loko,tertiary
Bombali,309097091,Port Loko,track
Bombali,307773536,Tonkolili,track
Bombali,309373656,Port Loko,path
Bombali,303344348,Port Loko,unclassified
Bombali,306543629,Port Loko,unclassified
Bombali,310292596,Koinadugu,path
Bombali,310292586,Koinadugu,track
Bombali,308374330,Port Loko,path
Bombali,302554750,Port Loko,unclassified
Bombali,307376181,Port Loko,path
Bombali,302554753,Port Loko,unclassified
Bombali,307627416,Koinadugu,path
Bombali,309501450,Koinadugu,path
Bombali,303824754,Kambia,unclassified
Bombali,302554695,Port Loko,unclassified
Bombali,306361202,Koinadugu,track
Bombali,308994450,Port Loko,unclassified
Bombali,302720476,Koinadugu,unclassified
Bombali,302720478,Koinadugu,unclassified
Bombali,284778245,Port Loko,trunk
Bombali,284778247,Port Loko,unclassified
Bombali,307806588,Tonkolili,unclassified
Bombali,307806587,Tonkolili,unclassified
Bombali,309307230,Port Loko,path
Bombali,303654397,Port Loko,unclassified
Western Area Urban,300037981,Western Area Rural,residential
Western Area Urban,162146475,Western Area Rural,tertiary
Western Area Urban,205999930,Western Area Rural,residential
Western Area Urban,305925541,Western Area Rural,path
Western Area Urban,306769842,Western Area Rural,path
Western Area Urban,305677685,Port Loko,unclassified
Western Area Urban,306005582,Western Area Rural,footway
Western Area Urban,298783068,Western Area Rural,residential
Western Area Urban,298783065,Western Area Rural,residential
Western Area Urban,187674243,Western Area Rural,primary
Western Area Urban,299120906,Western Area Rural,residential
Western Area Urban,298782996,Western Area Rural,residential
Western Area Urban,308630715,Port Loko,unclassified
Western Area Urban,298818158,Western Area Rural,residential
Western Area Urban,298783014,Western Area Rural,residential
Western Area Urban,298825240,Western Area Rural,track
Western Area Urban,298825245,Western Area Rural,track
Western Area Urban,205834499,Western Area Rural,residential
Western Area Urban,205834553,Western Area Rural,residential
Western Area Urban,298783080,Western Area Rural,residential
Western Area Urban,300033747,Western Area Rural,residential
Western Area Urban,175925853,Western Area Rural,residential
Western Area Urban,308630736,Port Loko,unclassified
Western Area Urban,308630739,Port Loko,unclassified
Western Area Urban,298818174,Western Area Rural,residential
Western Area Urban,206007516,Western Area Rural,residential
Western Area Urban,298672484,Western Area Rural,residential
Western Area Urban,205948513,Western Area Rural,residential
Western Area Urban,298663740,Western Area Rural,residential
Western Area Urban,293594319,Western Area Rural,primary
Western Area Urban,300262584,Port Loko,unclassified
Western Area Urban,298814128,Western Area Rural,track
Western Area Urban,305677686,Port Loko,unclassified
Western Area Urban,307321579,Western Area Rural,track
Western Area Urban,205999896,Western Area Rural,residential
Western Area Urban,298783035,Western Area Rural,residential
Western Area Urban,298783033,Western Area Rural,residential
Western Area Urban,298672466,Western Area Rural,residential
Western Area Urban,307735626,Western Area Rural,residential
Western Area Urban,300119717,Western Area Rural,residential
Western Area Urban,298783023,Western Area Rural,residential
Western Area Urban,205847649,Western Area Rural,residential
Western Area Urban,298783025,Western Area Rural,service
Western Area Urban,37184316,Western Area Rural,unclassified
Western Area Urban,308202654,Western Area Rural,residential
Western Area Urban,298814143,Western Area Rural,residential
Western Area Urban,298783054,Western Area Rural,residential
Western Area Urban,298783050,Western Area Rural,residential
Western Area Urban,298782995,Western Area Rural,residential
Western Area Urban,299122253,Western Area Rural,residential
Western Area Urban,205847667,Western Area Rural,tertiary
Western Area Urban,298818143,Western Area Rural,residential
Western Area Urban,298672523,Western Area Rural,residential
Western Area Urban,205834547,Western Area Rural,service
